name,price,rating,stock,category
Etrian Odyssey 2 Untold: The Fafnir Knight,"80,99 €",3 / 5,Out of Stock,"Role-Playing, Japanese-Style, Western-Style"
Disgaea DS,"80,99 €",3 / 5,In stock,"Strategy, Turn-Based, Fantasy, Tactics"
Lunar Knights,"78,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Hacknet,"79,99 €",3 / 5,In stock,"General, Miscellaneous"
Tales of Monkey Island Chapter 3: Lair of the Leviathan,"77,99 €",3 / 5,Out of Stock,"Adventure, General, 3D, Fantasy, Third-Person"
The Walking Dead: A Telltale Games Series - The Complete First Season,"85,99 €",3 / 5,In stock,"Miscellaneous, Adventure, Compilation, Point-and-Click"
Neverwinter Nights 2: Mask of The Betrayer,"85,99 €",3 / 5,Out of Stock,"Role-Playing, PC-style RPG, Western-Style"
Lost Judgment,"90,99 €",3 / 5,In stock,"Action Adventure, Open-World"
Sins of a Solar Empire: Rebellion,"79,99 €",3 / 5,Out of Stock,"Strategy, General"
Age of Wonders: Shadow Magic,"86,99 €",3 / 5,In stock,"Strategy, Turn-Based, Fantasy, General"
ATV Offroad Fury 2,"87,99 €",3 / 5,Out of Stock,"Driving, Racing, Rally / Offroad"
Mega Man Zero,"88,99 €",3 / 5,In stock,"Action, Platformer, 2D"
SOCOM: U.S. Navy SEALs,"80,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Tactical, Modern"
Tom Clancy's Ghost Recon: Desert Siege,"67,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Tactical, Modern"
Warlords Battlecry II,"78,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
Ring of Red,"81,99 €",3 / 5,In stock,"Strategy, Real-Time, Sci-Fi"
Football Manager Live,"30,99 €",3 / 5,Out of Stock,"Sports, Traditional, Team, Soccer, Management"
No More Heroes,"87,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"", 3D"
The Talos Principle: Road To Gehenna,"79,99 €",3 / 5,Out of Stock,"Adventure, 3D, First-Person"
Stellaris: Utopia,"78,99 €",3 / 5,In stock,"Strategy, Real-Time, General"
Aquaria,"82,99 €",3 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Need for Speed: Underground,"83,99 €",3 / 5,In stock,"Driving, Racing, Simulation, GT / Street, Automobile"
TrackMania Sunrise,"77,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade, Automobile"
Ape Escape 2,"83,99 €",3 / 5,In stock,"Action, Platformer, 3D"
Viva Pinata: Pocket Paradise,"75,99 €",3 / 5,Out of Stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
PixelJunk Shooter 2,"77,99 €",3 / 5,In stock,"Action, General, Shooter, Static, ""Shoot-Em-Up"", Top-Down"
Super Mario 3D All-Stars,"64,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
The Elder Scrolls V: Skyrim - Dragonborn,"82,99 €",3 / 5,In stock,"Role-Playing, First-Person, Western-Style"
Galak-Z: The Dimensional,"71,99 €",3 / 5,Out of Stock,"General, Shooter, Scrolling, Action, ""Shoot-Em-Up"", Vertical"
Sportsfriends,"63,99 €",3 / 5,In stock,"Sports, Miscellaneous, General, Party, Party / Minigame"
The Ramp,"82,99 €",3 / 5,Out of Stock,"Sports, Individual, Skate / Skateboard"
Sky: Children of the Light,"70,99 €",3 / 5,In stock,"Action Adventure, General"
Gears 5: Hivebusters,"81,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Arcade"
Batbarian: Testament of the Primordials,"87,99 €",3 / 5,In stock,"Action Adventure, General"
Swords & Soldiers II: Shawarmageddon,"80,99 €",3 / 5,Out of Stock,"Strategy, General"
Endless Legend,"80,99 €",3 / 5,In stock,"Strategy, Turn-Based, General, 4X"
Virtua Fighter 5 Final Showdown,"62,99 €",3 / 5,Out of Stock,"Action, Fighting, 3D"
Trauma Team,"82,99 €",3 / 5,In stock,"Action, Simulation, Miscellaneous, General, Puzzle, Virtual, Career"
Henry Hatsworth in the Puzzling Adventure,"81,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
SOCOM 3: U.S. Navy SEALs,"88,99 €",3 / 5,In stock,"Action, Shooter, Third-Person, Tactical, Modern"
Dance Dance Revolution Ultramix,"80,99 €",3 / 5,Out of Stock,"Miscellaneous, Rhythm, Dancing"
Extreme-G,"85,99 €",3 / 5,In stock,"Driving, Racing, Futuristic"
Death Stranding,"73,99 €",3 / 5,Out of Stock,"Action, General"
S.T.A.L.K.E.R.: Shadow of Chernobyl,"85,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Far Cry 5,"69,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Arcade"
Okamiden,"83,99 €",3 / 5,In stock,"Action Adventure, Fantasy, General"
Space Invaders Extreme 2,"74,99 €",3 / 5,Out of Stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Vertical"
Kero Blaster,"71,99 €",3 / 5,In stock,"General, Action, Platformer, Shooter, 2D, Scrolling, ""Shoot-Em-Up"", Vertical"
"Invisible, Inc. Console Edition","69,99 €",3 / 5,Out of Stock,"General, Strategy, Turn-Based, Tactics"
Castle Crashers,"88,99 €",3 / 5,In stock,"Action, ""Beat-Em-Up"", 2D"
VIDEOBALL,"76,99 €",3 / 5,Out of Stock,"Sports, General"
Gunman Clive,"79,99 €",3 / 5,In stock,"Action, General, Platformer, 2D"
Vectronom,"84,99 €",3 / 5,Out of Stock,"Puzzle, General"
Slime-san,"83,99 €",3 / 5,In stock,"Action Adventure, Linear"
The Sims 4: Eco Lifestyle,"33,99 €",3 / 5,Out of Stock,"Simulation, Virtual, Virtual Life"
SOLAS 128,"82,99 €",3 / 5,In stock,"Puzzle, General"
XCOM: Enemy Unknown Plus,"82,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, General, Tactics"
Sega GT 2002,"79,99 €",3 / 5,In stock,"Driving, Racing, GT / Street"
Airborne Assault: Red Devils Over Arnhem,"74,99 €",3 / 5,Out of Stock,"Strategy, Wargame, Turn-Based"
Tekken Advance,"77,99 €",3 / 5,In stock,"Action, Fighting, 3D"
Crazy Taxi 2,"83,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade"
Fallout Tactics: Brotherhood of Steel,"77,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Ogre Battle 64,"89,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy"
Sonic Rush,"81,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Need for Speed: Underground 2,"86,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Art of Balance Touch!,"74,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General"
NHL Eastside Hockey Manager 2005,"66,99 €",3 / 5,Out of Stock,"Sports, Traditional, Team, Ice Hockey, Management, Sim"
Legend of Grimrock,"81,99 €",3 / 5,In stock,"Role-Playing, General"
Borderlands Legendary Collection,"84,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Dominions 3: The Awakening,"77,99 €",3 / 5,In stock,"Strategy, Turn-Based, Fantasy, General"
NyxQuest: Kindred Spirits,"82,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Prince of Persia Classic,"71,99 €",3 / 5,In stock,"Action, Adventure, Platformer, General, 2D"
Star Fox Adventures,"79,99 €",3 / 5,Out of Stock,"Action Adventure, Sci-Fi"
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,"79,99 €",3 / 5,In stock,"Miscellaneous, Adventure, General, Compilation"
Mario Kart Wii,"84,99 €",3 / 5,Out of Stock,"Driving, Racing, Arcade, Kart, Automobile"
College Hoops 2K8,"59,99 €",3 / 5,In stock,"Sports, Traditional, Team, Basketball, Sim"
EA SPORTS UFC 4,"22,99 €",3 / 5,Out of Stock,"Sports, Individual, Combat, Boxing / Martial Arts"
Desktop Dungeons,"76,99 €",3 / 5,In stock,"General, Role-Playing, Roguelike"
Crusader Kings II,"87,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
Olympia Soiree,"82,99 €",3 / 5,In stock,"Adventure, Visual Novel"
Tainted Grail: Conquest,"75,99 €",3 / 5,Out of Stock,"Role-Playing, Strategy, Turn-Based, Action RPG, Card Battle"
Art Academy: Home Studio,"79,99 €",3 / 5,In stock,"Miscellaneous, Edutainment"
Europa 1400: The Guild,"83,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
Battle Realms,"85,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, General, Command"
Warlords Battlecry,"77,99 €",3 / 5,Out of Stock,"Strategy, General"
Shin Megami Tensei: Digital Devil Saga 2,"37,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
Paradise Killer,"77,99 €",3 / 5,Out of Stock,"General, Adventure, Visual Novel"
Sam & Max Episode 201: Ice Station Santa,"82,99 €",3 / 5,In stock,"Adventure, General, 3D, Point-and-Click, Third-Person"
Halo: Combat Evolved Anniversary,"82,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
N+,"75,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Major League Baseball 2K5,"74,99 €",3 / 5,Out of Stock,"Sports, Traditional, Baseball, Sim"
Brothers in Arms: Road to Hill 30,"75,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Historic"
SOCOM: U.S. Navy SEALs Fireteam Bravo,"87,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Tactical, Modern"
Art Style: ORBIENT,"82,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General"
Kingdom Hearts: Birth by Sleep,"86,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
The Last Guardian,"79,99 €",3 / 5,In stock,"Fantasy, Action Adventure, Linear"
Technobabylon,"77,99 €",3 / 5,Out of Stock,"Adventure, General, Point-and-Click"
Madden NFL 09 All-Play,"74,99 €",3 / 5,In stock,"Sports, Traditional, Team, Football, Sim"
Shin Megami Tensei: Nocturne,"62,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
World of Warcraft: Mists of Pandaria,"58,99 €",3 / 5,In stock,"Fantasy, Role-Playing, Massively Multiplayer Online, Massively Multiplayer"
Splatoon 2: Octo Expansion,"84,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Arcade"
Filament,"76,99 €",3 / 5,In stock,"Puzzle, Action"
MotoGP 20,"63,99 €",3 / 5,Out of Stock,"Racing, Simulation, Arcade, Automobile"
Recettear: An Item Shop's Tale,"86,99 €",3 / 5,In stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
Command & Conquer 3: Tiberium Wars,"74,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, General"
Harvest Moon: More Friends of Mineral Town,"85,99 €",3 / 5,In stock,"Strategy, Breeding/Constructing"
BlazBlue: Calamity Trigger Portable,"74,99 €",3 / 5,Out of Stock,"Action, Fighting, 2D"
Midnight Club: Los Angeles,"83,99 €",3 / 5,In stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Flight Simulator X: Acceleration,"72,99 €",3 / 5,Out of Stock,"Simulation, Flight, Modern Jet, Combat"
Etrian Odyssey II: Heroes of Lagaard,"82,99 €",3 / 5,In stock,"Role-Playing, First-Person, Western-Style"
Blood,"88,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Modern, Arcade"
Duelyst,"77,99 €",3 / 5,In stock,"Fantasy, Strategy, Turn-Based, General"
Links 2003,"68,99 €",3 / 5,Out of Stock,"Sports, Traditional, Individual, Golf, Sim"
Earth & Beyond,"71,99 €",3 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi"
Virtual Pool 3,"71,99 €",3 / 5,Out of Stock,"Sports, Miscellaneous, Parlor, Individual, Billiards"
The Sims: Livin' Large,"73,99 €",3 / 5,In stock,"Simulation, Miscellaneous, Virtual Life, Virtual"
Sonic the Hedgehog 2,"78,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
MLB The Show 18,"62,99 €",3 / 5,In stock,"Sports, Team, Baseball, Sim"
DCS: Black Shark,"86,99 €",3 / 5,Out of Stock,"Simulation, Flight, Helicopter, Civilian"
ModNation Racers,"84,99 €",3 / 5,In stock,"Driving, Racing, Arcade, Kart, Other"
Soul Sacrifice Delta,"85,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
King's Bounty: Armored Princess,"85,99 €",3 / 5,In stock,"Role-Playing, Strategy, Turn-Based, General"
Monster Hunter Stories 2: Wings of Ruin,"77,99 €",3 / 5,Out of Stock,"Role-Playing, Japanese-Style"
Rock Band Rivals,"66,99 €",3 / 5,In stock,"Action, Rhythm, Music"
Age of Wonders III - Golden Realms,"85,99 €",3 / 5,Out of Stock,"Fantasy, Strategy, Turn-Based, General"
Clubhouse Games: 51 Worldwide Classics,"76,99 €",3 / 5,In stock,"Miscellaneous, Party / Minigame"
Halo Wars,"75,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, General, Command"
PixelJunk Monsters Encore,"83,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, Defense"
Joint Operations: Typhoon Rising,"85,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Tactical, Modern"
Astalon: Tears of the Earth,"49,99 €",3 / 5,In stock,"Action Adventure, Open-World"
MotorStorm: Pacific Rift,"81,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
Xpand Rally,"73,99 €",3 / 5,In stock,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
Disgaea 4: A Promise Revisited,"82,99 €",3 / 5,Out of Stock,"Fantasy, Strategy, Turn-Based, Tactics"
Year Walk,"76,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
You Don't Know Jack,"82,99 €",3 / 5,Out of Stock,"Miscellaneous, Trivia / Game Show"
Celtic Kings: Rage of War,"77,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, General"
ATV Offroad Fury,"84,99 €",3 / 5,Out of Stock,"Driving, Racing, Rally / Offroad"
B-17 Flying Fortress: The Mighty 8th,"73,99 €",3 / 5,In stock,"Simulation, Flight, WWII, Combat"
EverQuest: The Scars of Velious,"73,99 €",3 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Suikoden II,"92,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
Final Fight One,"80,99 €",3 / 5,Out of Stock,"Action, ""Beat-Em-Up"""
Rising Storm,"84,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Historic, Arcade"
Lethal League,"77,99 €",3 / 5,Out of Stock,"Action, Fighting, 2D"
Ninja Five-O,"83,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Captain Toad: Treasure Tracker,"79,99 €",3 / 5,Out of Stock,"Puzzle, Action, Platformer, 3D"
Loop Hero,"82,99 €",3 / 5,In stock,"Role-Playing, General"
Madden NFL 18,"43,99 €",3 / 5,Out of Stock,"Sports, Team, Football, Sim"
Botanicula,"83,99 €",3 / 5,In stock,"Adventure, General, Third-Person, Point-and-Click, Fantasy"
"Nine Hours, Nine Persons, Nine Doors","88,99 €",3 / 5,Out of Stock,"Action Adventure, Adventure, General, Horror, 3D, Visual Novel, First-Person, Modern"
Darkest Dungeon: The Crimson Court,"66,99 €",3 / 5,In stock,"Role-Playing, General"
Gnosia,"85,99 €",3 / 5,Out of Stock,"Adventure, Visual Novel"
Life is Strange 2: Episode 5 - Wolves,"63,99 €",3 / 5,In stock,"Action Adventure, General"
College Hoops 2K7,"82,99 €",3 / 5,Out of Stock,"Sports, Traditional, Team, Basketball, Sim"
Catherine,"81,99 €",3 / 5,In stock,"Action Adventure, Horror, Survival"
PixelJunk Shooter Ultimate,"72,99 €",3 / 5,Out of Stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Vertical"
Bookworm Adventures Deluxe,"80,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General, Logic"
The Lord of the Rings: The Battle for Middle-Earth,"86,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
Bleach: Dark Souls,"78,99 €",3 / 5,In stock,"Action, Fighting, 2D"
RIVE: Ultimate Edition,"77,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Old World,"88,99 €",3 / 5,In stock,"Strategy, Turn-Based, 4X"
Pixel Ripped 1995,"66,99 €",3 / 5,Out of Stock,"Miscellaneous, Party / Minigame"
Azure Striker Gunvolt: Striker Pack,"79,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
WildStar,"75,99 €",3 / 5,Out of Stock,"Sci-Fi, Role-Playing, Massively Multiplayer Online, Massively Multiplayer"
Broken Age: Act 1,"77,99 €",3 / 5,In stock,"General, Adventure, 3D, Point-and-Click, Third-Person, Fantasy"
Cities: Skylines - Xbox One Edition,"65,99 €",3 / 5,Out of Stock,"Strategy, Management, Government"
Mortal Kombat Komplete Edition,"87,99 €",3 / 5,In stock,"Action, Miscellaneous, Fighting, Compilation, 2D"
Deus Ex: The Conspiracy,"88,99 €",3 / 5,Out of Stock,"Action Adventure, Sci-Fi"
Ninja Gaiden II,"80,99 €",3 / 5,In stock,"Action Adventure, Fantasy, General"
Valkyrie Profile,"89,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Winds of Change,"85,99 €",3 / 5,In stock,"Adventure, Visual Novel"
PHOGS!,"56,99 €",3 / 5,Out of Stock,"Adventure, 3D, Third-Person"
Get Packed,"77,99 €",3 / 5,In stock,"Puzzle, Action, General"
Baldur's Gate and Baldur's Gate II: Enhanced Editions,"63,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Shadowrun: Dragonfall,"83,99 €",3 / 5,In stock,"General, Role-Playing"
MechAssault 2: Lone Wolf,"76,99 €",3 / 5,Out of Stock,"Simulation, Sci-Fi, Mech"
Eets,"62,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Pokemon LeafGreen Version,"85,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
World of Warships,"60,99 €",3 / 5,In stock,"General, Action, Simulation, Marine, Combat"
TOCA Race Driver 2: The Ultimate Racing Simulator,"77,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, General, GT / Street, Automobile"
Harvest Moon: Friends of Mineral Town,"87,99 €",3 / 5,In stock,"Strategy, Breeding/Constructing"
Wargame: European Escalation,"81,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Historic, General, Tactics"
Rage of the Gladiator,"79,99 €",3 / 5,In stock,"Action, General, ""Beat-Em-Up"", 2D"
SteamWorld Quest: Hand of Gilgamech,"77,99 €",3 / 5,Out of Stock,"Strategy, Action Adventure, Turn-Based, General, Card Battle"
Kinect Party,"68,99 €",3 / 5,In stock,"Miscellaneous, Party, Party / Minigame"
Call of Duty: Black Ops III,"50,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Arcade"
Maldita Castilla EX: Cursed Castilla,"72,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Katamari Damacy REROLL,"76,99 €",3 / 5,Out of Stock,"Action Adventure, General"
Atlas Reactor,"75,99 €",3 / 5,In stock,"Turn-Based, Action, General"
Etrian Odyssey Nexus,"67,99 €",3 / 5,Out of Stock,"General, Role-Playing, Western-Style"
L.A. Noire: The VR Case Files,"70,99 €",3 / 5,In stock,"Adventure, 3D, First-Person"
Songbird Symphony,"79,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Antihero,"70,99 €",3 / 5,In stock,"Strategy, Turn-Based, Tactics"
Halo Wars: Definitive Edition,"77,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, General, Command"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,"85,99 €",3 / 5,In stock,"Action Adventure, Open-World"
A Space Shooter for 2 Bucks,"71,99 €",3 / 5,Out of Stock,"Action, General, Shooter, ""Shoot-Em-Up"", Vertical"
Void Bastards,"74,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Arcade"
Redout (2016),"79,99 €",3 / 5,Out of Stock,"General, Racing, Arcade, Futuristic"
God of War III Remastered,"82,99 €",3 / 5,In stock,"Action Adventure, Linear"
The 2D Adventures of Rotating Octopus Character,"81,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,"77,99 €",3 / 5,In stock,"Miscellaneous, Adventure, General, 3D, Compilation, Third-Person"
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,"72,99 €",3 / 5,Out of Stock,"Miscellaneous, Adventure, General, 3D, Compilation, Third-Person"
Age of Empires III: The Asian Dynasties,"83,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, Command"
BoxBoy! + BoxGirl!,"79,99 €",3 / 5,Out of Stock,"Puzzle, Action"
MLB 2006,"86,99 €",3 / 5,In stock,"Sports, Traditional, Baseball, Sim"
"Codename: Panzers, Phase One","86,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
Affordable Space Adventures,"81,99 €",3 / 5,In stock,"Scrolling, Action, Shooter, ""Shoot-Em-Up"", Vertical"
Dragon Quest VII: Fragments of the Forgotten Past,"82,99 €",3 / 5,Out of Stock,"Role-Playing, Japanese-Style"
AVICII Invector Encore Edition,"77,99 €",3 / 5,In stock,"Action, Rhythm, Music"
3D After Burner II,"78,99 €",3 / 5,Out of Stock,"Action, Shooter, Scrolling, ""Shoot-Em-Up"", Vertical"
Europa Universalis IV: Conquest of Paradise,"77,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, General"
Ghost Master,"79,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
Divine Divinity,"84,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Mega Man Battle Network 2,"86,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Breath of Fire II,"83,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
Donkey Kong Jungle Beat,"82,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Mario Power Tennis,"85,99 €",3 / 5,In stock,"Sports, Traditional, Tennis"
Gears Tactics,"77,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Tactics"
The Legend of Heroes: Trails of Cold Steel II,"83,99 €",3 / 5,In stock,"Role-Playing, Japanese-Style"
Dark Deity,"65,99 €",3 / 5,Out of Stock,"Role-Playing, General, Japanese-Style"
Disgaea 5: Alliance of Vengeance,"82,99 €",3 / 5,In stock,"Fantasy, Strategy, Turn-Based, Tactics"
Age of Conan: Hyborian Adventures,"73,99 €",3 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Company of Heroes 2: The Western Front Armies,"69,99 €",3 / 5,In stock,"Strategy, Real-Time, General, Historic"
Sid Meier's Civilization V: Gods & Kings,"77,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Historic, 4X"
Dragon Quest IV: Chapters of the Chosen,"81,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG, Japanese-Style"
The Elder Scrolls: Legends,"55,99 €",3 / 5,Out of Stock,"Miscellaneous, Board / Card Game"
Age of Empires III: The WarChiefs,"78,99 €",3 / 5,In stock,"Strategy, Real-Time, Historic, Command"
Ace Combat 6: Fires of Liberation,"80,99 €",3 / 5,Out of Stock,"Action, Simulation, Flight, Combat"
Crash Team Racing: Nitro-Fueled,"64,99 €",3 / 5,In stock,"Racing, Arcade, Automobile"
Youropa,"78,99 €",3 / 5,Out of Stock,"Action Adventure, General"
Endless Space 2,"79,99 €",3 / 5,In stock,"Strategy, Turn-Based, 4X"
Pokemon Black Version 2,"79,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG, Trainer"
Soul Reaver 2,"85,99 €",3 / 5,In stock,"Action Adventure, Horror"
Rocket Riot,"76,99 €",3 / 5,Out of Stock,"Action, General"
Detroit: Become Human,"78,99 €",3 / 5,In stock,"Adventure, 3D, Third-Person"
Leap of Fate,"71,99 €",3 / 5,Out of Stock,"Action, General"
Syberia II,"84,99 €",3 / 5,In stock,"Adventure, 3D, Fantasy, Third-Person"
Shenmue II,"89,99 €",3 / 5,Out of Stock,"Action Adventure, Modern"
Ecks vs. Sever,"80,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Modern"
Conquest: Frontier Wars,"81,99 €",3 / 5,Out of Stock,"Strategy, General"
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned","83,99 €",3 / 5,In stock,"Adventure, General, Point-and-Click"
Jet Force Gemini,"87,99 €",3 / 5,Out of Stock,"Action, Shooter, Third-Person, Sci-Fi"
Star Ocean: The Second Story,"85,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
Tyranny,"78,99 €",3 / 5,Out of Stock,"Role-Playing, Western-Style"
Gitaroo Man Lives!,"84,99 €",3 / 5,In stock,"Action, Miscellaneous, Rhythm, Music"
Skul: The Hero Slayer,"65,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Football Manager 2017,"54,99 €",3 / 5,In stock,"Sports, Team, Soccer, Management"
Super Time Force,"65,99 €",3 / 5,Out of Stock,"Action, Platformer, Shooter, 2D, Scrolling, ""Shoot-Em-Up"", Vertical"
SpellForce 3: Soul Harvest,"83,99 €",3 / 5,In stock,"Strategy, Real-Time, Tactics"
Westerado: Double Barreled,"77,99 €",3 / 5,Out of Stock,"Action, General"
Age of Empires: The Age of Kings,"80,99 €",3 / 5,In stock,"Strategy, Turn-Based, Historic, General"
Vitamin Connection,"80,99 €",3 / 5,Out of Stock,"Action, General"
Five Nights at Freddy's VR: Help Wanted,"78,99 €",3 / 5,In stock,"Action Adventure, Survival"
Volume,"73,99 €",3 / 5,Out of Stock,"Action, Action Adventure, Platformer, Linear, 3D"
Mighty Switch Force! Hyper Drive Edition,"77,99 €",3 / 5,In stock,"Action, Platformer, 2D"
"Snipperclips - Cut it out, together!","82,99 €",3 / 5,Out of Stock,"Puzzle, General"
WWE SmackDown vs. Raw 2010,"82,99 €",3 / 5,In stock,"Action, Sports, Fighting, Individual, Wrestling, Combat"
Sam & Max Episode 202: Moai Better Blues,"70,99 €",3 / 5,Out of Stock,"Adventure, General, 3D, Point-and-Click, Third-Person"
Final Fantasy Tactics A2: Grimoire of the Rift,"88,99 €",3 / 5,In stock,"Strategy, Turn-Based, Fantasy, Tactics"
Pinball FX3: Bethesda Pinball,"80,99 €",3 / 5,Out of Stock,"Action, Pinball"
Age of Wonders III - Eternal Lords,"84,99 €",3 / 5,In stock,"Strategy, Turn-Based, General"
Game of Thrones: Episode Three - The Sword in the Darkness,"78,99 €",3 / 5,Out of Stock,"Action, Adventure, General, Point-and-Click"
Hot Shots Golf Fore!,"84,99 €",3 / 5,In stock,"Sports, Traditional, Golf, Arcade"
Osmos,"76,99 €",3 / 5,Out of Stock,"Miscellaneous, Puzzle, General"
Assassin's Creed: The Rebel Collection,"82,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Disney Infinity 3.0 Edition,"60,99 €",3 / 5,Out of Stock,"Action Adventure, General"
Dungeon Siege II,"78,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Street Fighter Alpha 3 MAX,"82,99 €",3 / 5,Out of Stock,"Action, Fighting, 2D"
Sam & Max Episode 104: Abe Lincoln Must Die!,"74,99 €",3 / 5,In stock,"Adventure, General, 3D, Point-and-Click, Third-Person"
Transpose,"80,99 €",3 / 5,Out of Stock,"Adventure, 3D, First-Person"
BlazBlue: Chrono Phantasma Extend,"76,99 €",3 / 5,In stock,"Action, Fighting, 2D"
EyeToy: Play,"74,99 €",3 / 5,Out of Stock,"Miscellaneous, General"
